Data;Stawka;Obrót
2006-03-08;0,0399;2722
2006-03-09;0,0405;2540
2006-03-10;0,0404;1890
2006-03-13;0,0404;4035
2006-03-14;0,0408;3280
2006-03-15;0,0405;2890
2006-03-16;0,0407;3225
2006-03-17;0,0403;3940
2006-03-20;0,0405;5619
2006-03-21;0,0402;4230
2006-03-22;0,04;3255
2006-03-23;0,0406;6284
2006-03-24;0,0406;3128
2006-03-27;0,0407;3185
2006-03-28;0,0434;3270
2006-03-29;0,0291;3466
2006-03-30;0,028;3810
2006-03-31;0,0406;4741
2006-04-03;0,0406;5262
2006-04-04;0,0405;6337
2006-04-05;0,0406;2603
2006-04-06;0,0406;4491
2006-04-07;0,0406;3060
2006-04-10;0,0398;4737
2006-04-11;0,0382;3069
2006-04-12;0,0377;3633
2006-04-13;0,0391;3848
2006-04-14;0,0399;3097
2006-04-18;0,0399;3782
2006-04-19;0,0403;3743
2006-04-20;0,0403;1877
2006-04-21;0,0401;2935
2006-04-24;0,0399;2885
2006-04-25;0,0392;4807
2006-04-26;0,0388;3943
2006-04-27;0,039;4819
2006-04-28;0,042;4203
2006-05-02;0,0411;4049
2006-05-04;0,0406;3235
2006-05-05;0,0395;4591
2006-05-08;0,04;2765
2006-05-09;0,0399;2735
2006-05-10;0,0398;2835
2006-05-11;0,04;2885
2006-05-12;0,0399;3792
2006-05-15;0,0405;2905
2006-05-16;0,0407;2660
2006-05-17;0,0408;2989
2006-05-18;0,0405;2500
2006-05-19;0,04;2410
2006-05-22;0,04;2140
2006-05-23;0,04;2430
2006-05-24;0,0398;4105
2006-05-25;0,0396;4135
2006-05-26;0,0379;2860
2006-05-29;0,0392;3830
2006-05-30;0,0459;3459
2006-05-31;0,0402;6402
2006-06-01;0,0403;3259,5
2006-06-02;0,0402;2684
2006-06-05;0,0404;1295,5
2006-06-06;0,0396;2310
2006-06-07;0,0393;5309
2006-06-08;0,0395;1860
2006-06-09;0,0401;1720
2006-06-12;0,04;3470
2006-06-13;0,04;4823
2006-06-14;0,04;1460
2006-06-16;0,0385;1925
2006-06-19;0,0399;2510
2006-06-20;0,0401;3150
2006-06-21;0,0401;4595
2006-06-22;0,0402;3199
2006-06-23;0,0386;3025
2006-06-26;0,0376;3516
2006-06-27;0,0341;4495
2006-06-28;0,0275;6869
2006-06-29;0,0281;5133
2006-06-30;0,0402;4549
2006-07-03;0,0402;2780
2006-07-04;0,0402;3711
2006-07-05;0,0401;5522
2006-07-06;0,0395;3641
2006-07-07;0,0393;3000
2006-07-10;0,04;5139
2006-07-11;0,0398;4483
2006-07-12;0,0397;2903
2006-07-13;0,0401;2606
2006-07-14;0,0397;4735
2006-07-17;0,04;4438
2006-07-18;0,0401;3936
2006-07-19;0,0403;5404
2006-07-20;0,0402;4925
2006-07-21;0,0389;3071
2006-07-24;0,0389;3708
2006-07-25;0,0376;3431
2006-07-26;0,0374;1746
2006-07-27;0,0348;2582
2006-07-28;0,0395;3295
2006-07-31;0,0408;2895
2006-08-01;0,0408;3051
2006-08-02;0,0409;4171
2006-08-03;0,0404;3025
2006-08-04;0,0395;3225
2006-08-07;0,0384;2930
2006-08-08;0,0396;4680
2006-08-09;0,0401;3743
2006-08-10;0,04;2420
2006-08-11;0,0404;3303
2006-08-14;0,0402;3589
2006-08-16;0,04;3756,5
2006-08-17;0,0405;4022
2006-08-18;0,0402;4705
2006-08-21;0,0402;4619
2006-08-22;0,0396;3256
2006-08-23;0,0399;3068
2006-08-24;0,0395;3107
2006-08-25;0,0381;4970
2006-08-28;0,0393;4655
2006-08-29;0,0332;6133
2006-08-30;0,0263;5407
2006-08-31;0,0402;2990
2006-09-01;0,04;1691
2006-09-04;0,0402;1910
2006-09-05;0,0403;4025
2006-09-06;0,0402;2713
2006-09-07;0,0403;3131
2006-09-08;0,0403;3976
2006-09-11;0,0403;2498
2006-09-12;0,0401;4310
2006-09-13;0,0401;1997
2006-09-14;0,0402;2084
2006-09-15;0,04;4626
2006-09-18;0,0405;3217
2006-09-19;0,0404;5486
2006-09-20;0,04;5861
2006-09-21;0,0397;6795
2006-09-22;0,0396;5655
2006-09-25;0,0381;5734
2006-09-26;0,0343;6447
2006-09-27;0,0323;4218
2006-09-28;0,0304;4410
2006-09-29;0,034;5111
2006-10-02;0,0406;2175
2006-10-03;0,0407;3979
2006-10-04;0,0407;2400
2006-10-05;0,0408;4848
2006-10-06;0,0399;5104
2006-10-09;0,0399;4548
2006-10-10;0,04;5333
2006-10-11;0,0401;4024
2006-10-12;0,0403;5026
2006-10-13;0,0397;3737
2006-10-16;0,0399;2277
2006-10-17;0,0404;1971,5
2006-10-18;0,0402;3363
2006-10-19;0,0401;4225
2006-10-20;0,0393;6874
2006-10-23;0,0383;4780
2006-10-24;0,0382;5484
2006-10-25;0,0382;5810
2006-10-26;0,0386;7639
2006-10-27;0,039;6803
2006-10-30;0,0432;4815
2006-10-31;0,0404;3194
2006-11-02;0,041;4265
2006-11-03;0,0394;2303
2006-11-06;0,0399;5390
2006-11-07;0,0399;5431
2006-11-08;0,0399;2047
2006-11-09;0,0401;3330
2006-11-10;0,0399;4061,5
2006-11-13;0,0395;6087
2006-11-14;0,0395;4135
2006-11-15;0,0395;2888
2006-11-16;0,04;3895
2006-11-17;0,0394;4455
2006-11-20;0,04;3885
2006-11-21;0,0401;3124
2006-11-22;0,0399;2591
2006-11-23;0,0397;5253
2006-11-24;0,0394;5691
2006-11-27;0,0346;5438
2006-11-28;0,0302;4104
2006-11-29;0,0272;5005
2006-11-30;0,04;5376
2006-12-01;0,0397;2159
2006-12-04;0,0402;4739
2006-12-05;0,0404;3139
2006-12-06;0,0405;4903
2006-12-07;0,0404;3813
2006-12-08;0,04;8097,5
2006-12-11;0,04;4775
2006-12-12;0,04;6387
2006-12-13;0,04;2035
2006-12-14;0,0401;3017
2006-12-15;0,0392;4341
2006-12-18;0,0397;4767
2006-12-19;0,0395;3785
2006-12-20;0,0379;7007
2006-12-21;0,0394;7187
2006-12-22;0,0343;4836
2006-12-27;0,0321;4625
2006-12-28;0,0332;6880
2006-12-29;0,0511;2180
2007-01-02;0,041;10565
2007-01-03;0,0403;7241
2007-01-04;0,0402;5247
2007-01-05;0,0404;5178
2007-01-08;0,0404;5731
2007-01-09;0,0401;4591
2007-01-10;0,04;3317
2007-01-11;0,0401;3117
2007-01-12;0,0397;6530
2007-01-15;0,0399;6582
2007-01-16;0,0402;5091
2007-01-17;0,0401;3005
2007-01-18;0,0402;3125
2007-01-19;0,0399;5476
2007-01-22;0,0399;5744,5
2007-01-23;0,0396;4124
2007-01-24;0,0398;5207
2007-01-25;0,0398;7610
2007-01-26;0,0318;5371
2007-01-29;0,0282;5945
2007-01-30;0,0269;7420
2007-01-31;0,0401;6090
2007-02-01;0,0401;7745
2007-02-02;0,0402;7418
2007-02-05;0,0402;7534
2007-02-06;0,0401;5889
2007-02-07;0,04;5595
2007-02-08;0,0399;4960
2007-02-09;0,0397;4032
2007-02-12;0,0397;5922
2007-02-13;0,0396;3810
2007-02-14;0,0398;4423
2007-02-15;0,0399;4300
2007-02-16;0,04;5940
2007-02-19;0,0401;5780
2007-02-20;0,0398;5888
2007-02-21;0,0395;4790
2007-02-22;0,0385;4772
2007-02-23;0,0376;6526
2007-02-26;0,0304;2915
2007-02-27;0,0425;5387
2007-02-28;0,0402;5610
2007-03-01;0,0401;4345
2007-03-02;0,0401;3926
2007-03-05;0,0402;5300
2007-03-06;0,0399;3207
2007-03-07;0,0399;3829
2007-03-08;0,0399;4969
2007-03-09;0,0401;5047
2007-03-12;0,0402;3200
2007-03-13;0,0401;4679
2007-03-14;0,0401;3047
2007-03-15;0,0402;4153
2007-03-16;0,0407;4068
2007-03-19;0,0406;6123
2007-03-20;0,0403;6005
2007-03-21;0,0402;7755
2007-03-22;0,0401;4712
2007-03-23;0,0405;9125
2007-03-26;0,0379;9633
2007-03-27;0,0332;8264
2007-03-28;0,0348;7721
2007-03-29;0,0378;7099
2007-03-30;0,041;7241
2007-04-02;0,0404;4710
2007-04-03;0,0404;5496
2007-04-04;0,0404;4148
2007-04-05;0,0406;5036
2007-04-06;0,0402;5794
2007-04-10;0,0405;5428
2007-04-11;0,0402;3782
2007-04-12;0,0399;3098
2007-04-13;0,0404;4393
2007-04-16;0,0404;5448
2007-04-17;0,0406;2570
2007-04-18;0,041;2886
2007-04-19;0,0405;3905
2007-04-20;0,0389;4791
2007-04-23;0,0289;5808
2007-04-24;0,0263;3540
2007-04-25;0,0263;4847
2007-04-26;0,0283;3337
2007-04-27;0,0353;8120
2007-04-30;0,0435;5693
2007-05-02;0,0432;3220
2007-05-04;0,0428;7063
2007-05-07;0,0421;6335
2007-05-08;0,0428;4384
2007-05-09;0,0424;4675
2007-05-10;0,0427;4858
2007-05-11;0,0428;4220
2007-05-14;0,04265;6563
2007-05-15;0,043;4989
2007-05-16;0,043;4180
2007-05-17;0,043;5160
2007-05-18;0,0431;6312
